# BrightStars.csv — embedded subset of the Yale Bright Star Catalog (BSC5)
# Named stars with visual magnitude V <= 3.1 at epoch J2000.0 (ICRS)
# Format: CommonName,BayerDesig,Frame,RAh,RAm,RAs,Decd,Decm,Decs,pmRA_cosd,pmDec,RV_kms,parallax_mas,magnitude,SpectralType
# pmRA_cosd = proper motion in RA x cos(Dec) in mas/yr; pmDec in mas/yr; parallax in mas
Kaus Borealis,laSgr,ICRS,18,27,58.24,-25,25,18.1,-43.75,-46.43,-42.9,12.91,2.82,K1IIIb
Vindemiatrix,epsVir,ICRS,13,2,10.60,+10,57,32.9,-273.50,19.47,14.2,31.02,2.83,G8IIIab
Algenib,gaPeg,ICRS,0,13,14.23,+15,11,1.4,4.70,-8.24,4.3,3.73,2.84,B2IV
Alcyone,etTau,ICRS,3,47,29.08,+24,6,18.5,19.35,-42.78,10.1,8.87,2.87,B7IIIe
Gomeisa,beCMi,ICRS,7,27,9.04,+8,17,21.5,-52.79,-43.75,22.4,20.74,2.90,B8Ve
Cor Caroli,alCVn,ICRS,12,56,1.67,+38,19,6.2,-234.33,53.55,0.0,37.55,2.90,A0pSiEuHg
Sadalsuud,beAqr,ICRS,21,31,33.53,-5,34,16.2,18.76,0.74,6.7,7.95,2.91,G0Ib
Sadalmelik,alAqr,ICRS,22,5,47.04,-0,19,11.0,18.05,23.24,7.3,5.73,2.96,G2Ib
Almaaz,epsAur,ICRS,5,1,58.13,+43,49,23.9,-0.58,-2.06,-2.0,1.53,2.99,A8Iab
Pherkad,gaUMi,ICRS,15,20,43.72,+71,50,2.5,-16.95,26.09,-14.0,11.15,3.05,A2IIIb
